;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 03/27/2016 12:12:05
;----------------------------------------------

;Address Opcode 	ASM
0x0184	0x118C      	BCF        PIR1, 3
;__Lib_I2C_c34.c,48 :: 		
0x0185	0x1683      	BSF        STATUS, 5
0x0186	0x1591      	BSF        SSPCON2, 3
;__Lib_I2C_c34.c,50 :: 		
L_I2C1_Rd12:
0x0187	0x1283      	BCF        STATUS, 5
0x0188	0x198C      	BTFSC      PIR1, 3
0x0189	0x298B      	GOTO       L_I2C1_Rd13
;__Lib_I2C_c34.c,51 :: 		
0x018A	0x2987      	GOTO       L_I2C1_Rd12
L_I2C1_Rd13:
;__Lib_I2C_c34.c,53 :: 		
0x018B	0x0813      	MOVF       SSPBUF, 0
0x018C	0x00F1      	MOVWF      R1
;__Lib_I2C_c34.c,54 :: 		
0x018D	0x1683      	BSF        STATUS, 5
0x018E	0x0861      	MOVF       FARG_I2C1_Rd_ack, 0
0x018F	0x3A00      	XORLW      0
0x0190	0x1D03      	BTFSS      STATUS, 2
0x0191	0x2994      	GOTO       L_I2C1_Rd14
;__Lib_I2C_c34.c,55 :: 		
0x0192	0x1691      	BSF        SSPCON2, 5
0x0193	0x2995      	GOTO       L_I2C1_Rd15
L_I2C1_Rd14:
;__Lib_I2C_c34.c,57 :: 		
0x0194	0x1291      	BCF        SSPCON2, 5
L_I2C1_Rd15:
;__Lib_I2C_c34.c,59 :: 		
0x0195	0x1283      	BCF        STATUS, 5
0x0196	0x118C      	BCF        PIR1, 3
;__Lib_I2C_c34.c,60 :: 		
0x0197	0x1683      	BSF        STATUS, 5
0x0198	0x1611      	BSF        SSPCON2, 4
;__Lib_I2C_c34.c,62 :: 		
L_I2C1_Rd16:
0x0199	0x1283      	BCF        STATUS, 5
0x019A	0x198C      	BTFSC      PIR1, 3
0x019B	0x299D      	GOTO       L_I2C1_Rd17
;__Lib_I2C_c34.c,63 :: 		
0x019C	0x2999      	GOTO       L_I2C1_Rd16
L_I2C1_Rd17:
;__Lib_I2C_c34.c,65 :: 		
0x019D	0x0871      	MOVF       R1, 0
0x019E	0x00F0      	MOVWF      R0
;__Lib_I2C_c34.c,66 :: 		
L_end_I2C1_Rd:
0x019F	0x0008      	RETURN
; end of _I2C1_Rd
_Dec2Bcd:
;__Lib_Conversions.c,304 :: 		
;__Lib_Conversions.c,305 :: 		
0x01A0	0x1683      	BSF        STATUS, 5
0x01A1	0x1303      	BCF        STATUS, 6
0x01A2	0x01E2      	CLRF       Dec2Bcd_tmp_L0
;__Lib_Conversions.c,307 :: 		
0x01A3	0x0861      	MOVF       FARG_Dec2Bcd_decnum, 0
0x01A4	0x3C09      	SUBLW      9
0x01A5	0x1803      	BTFSC      STATUS, 0
0x01A6	0x29C4      	GOTO       L_Dec2Bcd64
;__Lib_Conversions.c,308 :: 		
0x01A7	0x300A      	MOVLW      10
0x01A8	0x00F4      	MOVWF      R4
0x01A9	0x0861      	MOVF       FARG_Dec2Bcd_decnum, 0
0x01AA	0x00F0      	MOVWF      R0
0x01AB	0x2112      	CALL       _Div_8X8_U
0x01AC	0x0870      	MOVF       R0, 0
0x01AD	0x1683      	BSF        STATUS, 5
0x01AE	0x00E2      	MOVWF      Dec2Bcd_tmp_L0
;__Lib_Conversions.c,309 :: 		
0x01AF	0x0870      	MOVF       R0, 0
0x01B0	0x00E2      	MOVWF      Dec2Bcd_tmp_L0
0x01B1	0x0DE2      	RLF        Dec2Bcd_tmp_L0, 1
0x01B2	0x1062      	BCF        Dec2Bcd_tmp_L0, 0
0x01B3	0x0DE2      	RLF        Dec2Bcd_tmp_L0, 1
0x01B4	0x1062      	BCF        Dec2Bcd_tmp_L0, 0
0x01B5	0x0DE2      	RLF        Dec2Bcd_tmp_L0, 1
0x01B6	0x1062      	BCF        Dec2Bcd_tmp_L0, 0
0x01B7	0x0DE2      	RLF        Dec2Bcd_tmp_L0, 1
0x01B8	0x1062      	BCF        Dec2Bcd_tmp_L0, 0
;__Lib_Conversions.c,310 :: 		
0x01B9	0x300A      	MOVLW      10
0x01BA	0x00F4      	MOVWF      R4
0x01BB	0x0861      	MOVF       FARG_Dec2Bcd_decnum, 0
0x01BC	0x00F0      	MOVWF      R0
0x01BD	0x2112      	CALL       _Div_8X8_U
0x01BE	0x0878      	MOVF       R8, 0
0x01BF	0x00F0      	MOVWF      R0
0x01C0	0x0870      	MOVF       R0, 0
0x01C1	0x1683      	BSF        STATUS, 5
0x01C2	0x04E2      	IORWF      Dec2Bcd_tmp_L0, 1
;__Lib_Conversions.c,311 :: 		
0x01C3	0x29C6      	GOTO       L_Dec2Bcd65
L_Dec2Bcd64:
;__Lib_Conversions.c,312 :: 		
0x01C4	0x0861      	MOVF       FARG_Dec2Bcd_decnum, 0
0x01C5	0x00E2      	MOVWF      Dec2Bcd_tmp_L0
L_Dec2Bcd65:
;__Lib_Conversions.c,313 :: 		
0x01C6	0x0862      	MOVF       Dec2Bcd_tmp_L0, 0
0x01C7	0x00F0      	MOVWF      R0
;__Lib_Conversions.c,314 :: 		
L_end_Dec2Bcd:
0x01C8	0x0008      	RETURN
; end of _Dec2Bcd
_Bcd2Dec:
;__Lib_Conversions.c,319 :: 		
;__Lib_Conversions.c,320 :: 		
;__Lib_Conversions.c,322 :: 		
0x01C9	0x1683      	BSF        STATUS, 5
0x01CA	0x1303      	BCF        STATUS, 6
0x01CB	0x0861      	MOVF       FARG_Bcd2Dec_bcdnum, 0
0x01CC	0x00F0      	MOVWF      R0
0x01CD	0x0CF0      	RRF        R0, 1
0x01CE	0x13F0      	BCF        R0, 7
0x01CF	0x0CF0      	RRF        R0, 1
0x01D0	0x13F0      	BCF        R0, 7
0x01D1	0x0CF0      	RRF        R0, 1
0x01D2	0x13F0      	BCF        R0, 7
0x01D3	0x0CF0      	RRF        R0, 1
0x01D4	0x13F0      	BCF        R0, 7
0x01D5	0x300A      	MOVLW      10
0x01D6	0x00F4      	MOVWF      R4
0x01D7	0x20F0      	CALL       _Mul_8X8_U
;__Lib_Conversions.c,323 :: 		
0x01D8	0x300F      	MOVLW      15
0x01D9	0x1683      	BSF        STATUS, 5
0x01DA	0x0561      	ANDWF      FARG_Bcd2Dec_bcdnum, 0
0x01DB	0x00F1      	MOVWF      R1
0x01DC	0x0871      	MOVF       R1, 0
0x01DD	0x07F0      	ADDWF      R0, 1
;__Lib_Conversions.c,324 :: 		
;__Lib_Conversions.c,325 :: 		
L_end_Bcd2Dec:
0x01DE	0x0008      	RETURN
; end of _Bcd2Dec
_I2C1_Stop:
;__Lib_I2C_c34.c,89 :: 		
;__Lib_I2C_c34.c,90 :: 		
0x01DF	0x1683      	BSF        STATUS, 5
0x01E0	0x1303      	BCF        STATUS, 6
0x01E1	0x1511      	BSF        SSPCON2, 2
;__Lib_I2C_c34.c,91 :: 		
L_end_I2C1_Stop:
0x01E2	0x0008      	RETURN
; end of _I2C1_Stop
_UART1_Write_Text:
;__Lib_UART_c67.c,47 :: 		
;__Lib_UART_c67.c,48 :: 		
0x01E3	0x1683      	BSF        STATUS, 5
0x01E4	0x1303      	BCF        STATUS, 6
0x01E5	0x01E3      	CLRF       UART1_Write_Text_counter_L0
;__Lib_UART_c67.c,50 :: 		
0x01E6	0x0861      	MOVF       FARG_UART1_Write_Text_uart_text, 0
0x01E7	0x0084      	MOVWF      FSR
0x01E8	0x0800      	MOVF       INDF, 0
0x01E9	0x00E2      	MOVWF      UART1_Write_Text_data__L0
;__Lib_UART_c67.c,51 :: 		
L_UART1_Write_Text5:
0x01EA	0x0862      	MOVF       UART1_Write_Text_data__L0, 0
0x01EB	0x3A00      	XORLW      0
0x01EC	0x1903      	BTFSC      STATUS, 2
0x01ED	0x29F9      	GOTO       L_UART1_Write_Text6
;__Lib_UART_c67.c,52 :: 		
0x01EE	0x0862      	MOVF       UART1_Write_Text_data__L0, 0
0x01EF	0x00E5      	MOVWF      FARG_UART1_Write_data_
0x01F0	0x20E6      	CALL       _UART1_Write
;__Lib_UART_c67.c,53 :: 		
0x01F1	0x1683      	BSF        STATUS, 5
0x01F2	0x0AE3      	INCF       UART1_Write_Text_counter_L0, 1
;__Lib_UART_c67.c,54 :: 		
0x01F3	0x0863      	MOVF       UART1_Write_Text_counter_L0, 0
0x01F4	0x0761      	ADDWF      FARG_UART1_Write_Text_uart_text, 0
0x01F5	0x0084      	MOVWF      FSR
0x01F6	0x0800      	MOVF       INDF, 0
0x01F7	0x00E2      	MOVWF      UART1_Write_Text_data__L0
;__Lib_UART_c67.c,55 :: 		
0x01F8	0x29EA      	GOTO       L_UART1_Write_Text5
L_UART1_Write_Text6:
;__Lib_UART_c67.c,56 :: 		
L_end_UART1_Write_Text:
0x01F9	0x0008      	RETURN
; end of _UART1_Write_Text
_memcpy:
;__Lib_CString.c,37 :: 		
;__Lib_CString.c,41 :: 		
0x01FA	0x1683      	BSF        STATUS, 5
0x01FB	0x1303      	BCF        STATUS, 6
0x01FC	0x0862      	MOVF       FARG_memcpy_s1, 0
0x01FD	0x00F3      	MOVWF      R3
;__Lib_CString.c,42 :: 		
0x01FE	0x0861      	MOVF       FARG_memcpy_d1, 0
0x01FF	0x00F2      	MOVWF      R2
;__Lib_CString.c,43 :: 		
L_memcpy7:
0x0200	0x0863      	MOVF       FARG_memcpy_n, 0
0x0201	0x00F0      	MOVWF      R0
0x0202	0x0864      	MOVF       FARG_memcpy_n+1, 0
0x0203	0x00F1      	MOVWF      R0+1
0x0204	0x3001      	MOVLW      1
0x0205	0x02E3      	SUBWF      FARG_memcpy_n, 1
0x0206	0x1C03      	BTFSS      STATUS, 0
0x0207	0x03E4      	DECF       FARG_memcpy_n+1, 1
0x0208	0x0870      	MOVF       R0, 0
0x0209	0x0471      	IORWF      R0+1, 0
0x020A	0x1903      	BTFSC      STATUS, 2
0x020B	0x2A17      	GOTO       L_memcpy8
;__Lib_CString.c,44 :: 		
0x020C	0x0873      	MOVF       R3, 0
0x020D	0x0084      	MOVWF      FSR
0x020E	0x0800      	MOVF       INDF, 0
0x020F	0x00F0      	MOVWF      R0
0x0210	0x0872      	MOVF       R2, 0
0x0211	0x0084      	MOVWF      FSR
0x0212	0x0870      	MOVF       R0, 0
0x0213	0x0080      	MOVWF      INDF
0x0214	0x0AF2      	INCF       R2, 1
0x0215	0x0AF3      	INCF       R3, 1
0x0216	0x2A00      	GOTO       L_memcpy7
L_memcpy8:
;__Lib_CString.c,46 :: 		
0x0217	0x0861      	MOVF       FARG_memcpy_d1, 0
0x0218	0x00F0      	MOVWF      R0
;__Lib_CString.c,47 :: 		
L_end_memcpy:
0x0219	0x0008      	RETURN
; end of _memcpy
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x021A	0x2A2C      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x021B	0x3080      	MOVLW      128
0x021C	0x1683      	BSF        STATUS, 5
0x021D	0x1303      	BCF        STATUS, 6
0x021E	0x00E1      	MOVWF      FARG_Lcd_Out_row
0x021F	0x2A3F      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x0220	0x30C0      	MOVLW      192
0x0221	0x00E1      	MOVWF      FARG_Lcd_Out_row
0x0222	0x2A3F      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x0223	0x3094      	MOVLW      148
0x0224	0x00E1      	MOVWF      FARG_Lcd_Out_row
0x0225	0x2A3F      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x0226	0x30D4      	MOVLW      212
0x0227	0x00E1      	MOVWF      FARG_Lcd_Out_row
0x0228	0x2A3F      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x0229	0x3080      	MOVLW      128
0x022A	0x00E1      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x022B	0x2A3F      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x022C	0x1683      	BSF        STATUS, 5
0x022D	0x1303      	BCF        STATUS, 6
0x022E	0x0861      	MOVF       FARG_Lcd_Out_row, 0
0x022F	0x3A01      	XORLW      1
0x0230	0x1903      	BTFSC      STATUS, 2
0x0231	0x2A1B      	GOTO       L_Lcd_Out13
0x0232	0x0861      	MOVF       FARG_Lcd_Out_row, 0
0x0233	0x3A02      	XORLW      2
0x0234	0x1903      	BTFSC      STATUS, 2
0x0235	0x2A20      	GOTO       L_Lcd_Out14
0x0236	0x0861      	MOVF       FARG_Lcd_Out_row, 0
0x0237	0x3A03      	XORLW      3
0x0238	0x1903      	BTFSC      STATUS, 2
0x0239	0x2A23      	GOTO       L_Lcd_Out15
0x023A	0x0861      	MOVF       FARG_Lcd_Out_row, 0
0x023B	0x3A04      	XORLW      4
0x023C	0x1903      	BTFSC      STATUS, 2
0x023D	0x2A26      	GOTO       L_Lcd_Out16
0x023E	0x2A29      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x023F	0x0362      	DECF       FARG_Lcd_Out_column, 0
0x0240	0x00F0      	MOVWF      R0
0x0241	0x0861      	MOVF       FARG_Lcd_Out_row, 0
0x0242	0x07F0      	ADDWF      R0, 1
0x0243	0x0870      	MOVF       R0, 0
0x0244	0x00E1      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x0245	0x0870      	MOVF       R0, 0
0x0246	0x00E6      	MOVWF      FARG_Lcd_Cmd_out_char
0x0247	0x208F      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x0248	0x1057      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x0249	0x1683      	BSF        STATUS, 5
0x024A	0x01E4      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x024B	0x0864      	MOVF       Lcd_Out_i_L0, 0
0x024C	0x0763      	ADDWF      FARG_Lcd_Out_text, 0
0x024D	0x0084      	MOVWF      FSR
0x024E	0x0800      	MOVF       INDF, 0
0x024F	0x1903      	BTFSC      STATUS, 2
0x0250	0x2A5A      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x0251	0x0864      	MOVF       Lcd_Out_i_L0, 0
0x0252	0x0763      	ADDWF      FARG_Lcd_Out_text, 0
0x0253	0x0084      	MOVWF      FSR
0x0254	0x0800      	MOVF       INDF, 0
0x0255	0x00E5      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x0256	0x2109      	CALL       _Lcd_Chr_CP
0x0257	0x1683      	BSF        STATUS, 5
0x0258	0x0AE4      	INCF       Lcd_Out_i_L0, 1
0x0259	0x2A4B      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x025A	0x1283      	BCF        STATUS, 5
0x025B	0x1457      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x025C	0x0008      	RETURN
; end of _Lcd_Out
_UART1_Read:
;__Lib_UART_c67.c,21 :: 		
;__Lib_UART_c67.c,24 :: 		
0x025D	0x1283      	BCF        STATUS, 5
0x025E	0x1303      	BCF        STATUS, 6
0x025F	0x081A      	MOVF       RCREG, 0
0x0260	0x00F1      	MOVWF      R1
;__Lib_UART_c67.c,25 :: 		
0x0261	0x1C98      	BTFSS      RCSTA, 1
0x0262	0x2A65      	GOTO       L_UART1_Read2
;__Lib_UART_c67.c,26 :: 		
0x0263	0x1218      	BCF        RCSTA, 4
;__Lib_UART_c67.c,27 :: 		
0x0264	0x1618      	BSF        RCSTA, 4
;__Lib_UART_c67.c,28 :: 		
L_UART1_Read2:
;__Lib_UART_c67.c,29 :: 		
0x0265	0x0871      	MOVF       R1, 0
0x0266	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,30 :: 		
L_end_UART1_Read:
0x0267	0x0008      	RETURN
; end of _UART1_Read
_UART1_Data_Ready:
;__Lib_UART_c67.c,16 :: 		
;__Lib_UART_c67.c,17 :: 		
0x0268	0x3000      	MOVLW      0
0x0269	0x1283      	BCF        STATUS, 5
0x026A	0x1303      	BCF        STATUS, 6
0x026B	0x1A8C      	BTFSC      PIR1, 5
0x026C	0x3001      	MOVLW      1
0x026D	0x00F0      	MOVWF      R0
;__Lib_UART_c67.c,18 :: 		
L_end_UART1_Data_Ready:
0x026E	0x0008      	RETURN
; end of _UART1_Data_Ready
_____DoICP:
;__Lib_System.c,6 :: 		
;__Lib_System.c,9 :: 		
0x026F	0x1683      	BSF        STATUS, 5
0x0270	0x1303      	BCF        STATUS, 6
0x0271	0x083C      	MOVF       ___DoICPAddr+1, 0
0x0272	0x008A      	MOVWF      PCLATH
;__Lib_System.c,10 :: 		
0x0273	0x083B      	MOVF       ___DoICPAddr, 0
0x0274	0x0082      	MOVWF      PCL
;__Lib_System.c,12 :: 		
L_end_____DoICP:
0x0275	0x0008      	RETURN
; end of _____DoICP
__OS_Queue_Send:
;osa_queue.c,64 :: 		
;osa_queue.c,70 :: 		
0x0276	0x3003      	MOVLW      3
0x0277	0x1283      	BCF        STATUS, 5
0x0278	0x1303      	BCF        STATUS, 6
0x0279	0x00F3      	MOVWF      R3
0x027A	0x3074      	MOVLW      R4
0x027B	0x00F2      	MOVWF      R2
0x027C	0x1683      	BSF        STATUS, 5
0x027D	0x085A      	MOVF       FARG__OS_Queue_Send_pQueue, 0
0x027E	0x00F1      	MOVWF      R1
L__OS_Queue_Send21:
0x027F	0x0871      	MOVF       R1, 0
0x0280	0x0084      	MOVWF      FSR
0x0281	0x0800      	MOVF       INDF, 0
0x0282	0x00F0      	MOVWF      R0
0x0283	0x0872      	MOVF       R2, 0
0x0284	0x0084      	MOVWF      FSR
0x0285	0x0870      	MOVF       R0, 0
0x0286	0x0080      	MOVWF      INDF
0x0287	0x0AF2      	INCF       R2, 1
0x0288	0x0AF1      	INCF       R1, 1
0x0289	0x03F3      	DECF       R3, 1
0x028A	0x1D03      	BTFSS      STATUS, 2
0x028B	0x2A7F      	GOTO       L__OS_Queue_Send21
;osa_queue.c,71 :: 		
0x028C	0x1283      	BCF        STATUS, 5
0x028D	0x1042      	BCF        __OS_Flags, 0
;osa_queue.c,77 :: 		
0x028E	0x0874      	MOVF       R4, 0
0x028F	0x0675      	XORWF      R4+1, 0
0x0290	0x1D03      	BTFSS      STATUS, 2
0x0291	0x2AA9      	GOTO       L__OS_Queue_Send22
;osa_queue.c,79 :: 		
0x0292	0x3003      	MOVLW      3
0x0293	0x1683      	BSF        STATUS, 5
0x0294	0x075A      	ADDWF      FARG__OS_Queue_Send_pQueue, 0
0x0295	0x0084      	MOVWF      FSR
0x0296	0x0800      	MOVF       INDF, 0
0x0297	0x00F0      	MOVWF      R0
0x0298	0x0876      	MOVF       R4+2, 0
0x0299	0x0770      	ADDWF      R0, 0
0x029A	0x0084      	MOVWF      FSR
0x029B	0x085B      	MOVF       FARG__OS_Queue_Send_Msg, 0
0x029C	0x0080      	MOVWF      INDF
;osa_queue.c,80 :: 		
0x029D	0x0A76      	INCF       R4+2, 0
0x029E	0x00F0      	MOVWF      R0
0x029F	0x0870      	MOVF       R0, 0
0x02A0	0x00F6      	MOVWF      R4+2
;osa_queue.c,81 :: 		
0x02A1	0x0876      	MOVF       R4+2, 0
0x02A2	0x0674      	XORWF      R4, 0
0x02A3	0x1D03      	BTFSS      STATUS, 2
0x02A4	0x2AA6      	GOTO       L__OS_Queue_Send23
0x02A5	0x01F6      	CLRF       R4+2
L__OS_Queue_Send23:
;osa_queue.c,83 :: 		
0x02A6	0x1283      	BCF        STATUS, 5
0x02A7	0x1442      	BSF        __OS_Flags, 0
;osa_queue.c,84 :: 		
0x02A8	0x2AD2      	GOTO       ____OS_Queue_Send_EXIT
;osa_queue.c,85 :: 		
L__OS_Queue_Send22:
;osa_queue.c,92 :: 		
0x02A9	0x0876      	MOVF       R4+2, 0
0x02AA	0x00F0      	MOVWF      R0
0x02AB	0x01F1      	CLRF       R0+1
0x02AC	0x0875      	MOVF       R4+1, 0
0x02AD	0x0770      	ADDWF      R0, 0
0x02AE	0x00F2      	MOVWF      R2
0x02AF	0x0871      	MOVF       R0+1, 0
0x02B0	0x1803      	BTFSC      STATUS, 0
0x02B1	0x3E01      	ADDLW      1
0x02B2	0x00F3      	MOVWF      R2+1
0x02B3	0x0872      	MOVF       R2, 0
0x02B4	0x00F7      	MOVWF      R7
0x02B5	0x0873      	MOVF       R2+1, 0
0x02B6	0x00F8      	MOVWF      R7+1
;osa_queue.c,93 :: 		
0x02B7	0x3000      	MOVLW      0
0x02B8	0x0273      	SUBWF      R2+1, 0
0x02B9	0x1D03      	BTFSS      STATUS, 2
0x02BA	0x2ABD      	GOTO       L___OS_Queue_Send50
0x02BB	0x0874      	MOVF       R4, 0
0x02BC	0x0272      	SUBWF      R2, 0
L___OS_Queue_Send50:
0x02BD	0x1C03      	BTFSS      STATUS, 0
0x02BE	0x2AC3      	GOTO       L__OS_Queue_Send24
0x02BF	0x0874      	MOVF       R4, 0
0x02C0	0x02F7      	SUBWF      R7, 1
0x02C1	0x1C03      	BTFSS      STATUS, 0
0x02C2	0x03F8      	DECF       R7+1, 1
L__OS_Queue_Send24:
;osa_queue.c,94 :: 		
0x02C3	0x3003      	MOVLW      3
0x02C4	0x1683      	BSF        STATUS, 5
0x02C5	0x075A      	ADDWF      FARG__OS_Queue_Send_pQueue, 0
0x02C6	0x0084      	MOVWF      FSR
0x02C7	0x0800      	MOVF       INDF, 0
0x02C8	0x00F0      	MOVWF      R0
0x02C9	0x0877      	MOVF       R7, 0
0x02CA	0x0770      	ADDWF      R0, 0
0x02CB	0x0084      	MOVWF      FSR
0x02CC	0x085B      	MOVF       FARG__OS_Queue_Send_Msg, 0
0x02CD	0x0080      	MOVWF      INDF
;osa_queue.c,95 :: 		
0x02CE	0x0A75      	INCF       R4+1, 0
0x02CF	0x00F0      	MOVWF      R0
0x02D0	0x0870      	MOVF       R0, 0
0x02D1	0x00F5      	MOVWF      R4+1
;osa_queue.c,97 :: 		
____OS_Queue_Send_EXIT:
0x02D2	0x1683      	BSF        STATUS, 5
;osa_queue.c,99 :: 		
0x02D3	0x3003      	MOVLW      3
0x02D4	0x00F3      	MOVWF      R3
0x02D5	0x085A      	MOVF       FARG__OS_Queue_Send_pQueue, 0
0x02D6	0x00F2      	MOVWF      R2
0x02D7	0x3074      	MOVLW      R4
0x02D8	0x00F1      	MOVWF      R1
L__OS_Queue_Send25:
0x02D9	0x0871      	MOVF       R1, 0
0x02DA	0x0084      	MOVWF      FSR
0x02DB	0x0800      	MOVF       INDF, 0
0x02DC	0x00F0      	MOVWF      R0
0x02DD	0x0872      	MOVF       R2, 0
0x02DE	0x0084      	MOVWF      FSR
0x02DF	0x0870      	MOVF       R0, 0
0x02E0	0x0080      	MOVWF      INDF
0x02E1	0x0AF2      	INCF       R2, 1
0x02E2	0x0AF1      	INCF       R1, 1
0x02E3	0x03F3      	DECF       R3, 1
0x02E4	0x1D03      	BTFSS      STATUS, 2
0x02E5	0x2AD9      	GOTO       L__OS_Queue_Send25
;osa_queue.c,100 :: 		
L_end__OS_Queue_Send:
0x02E6	0x0008      	RETURN
; end of __OS_Queue_Send
__OS_Csem_Signal:
;osa_csem.c,64 :: 		
;osa_csem.c,66 :: 		
0x02E7	0x1283      	BCF        STATUS, 5
0x02E8	0x1303      	BCF        STATUS, 6
0x02E9	0x1042      	BCF        __OS_Flags, 0
;osa_csem.c,68 :: 		
0x02EA	0x1683      	BSF        STATUS, 5
0x02EB	0x085A      	MOVF       FARG__OS_Csem_Signal_pCSem, 0
0x02EC	0x0084      	MOVWF      FSR
0x02ED	0x0800      	MOVF       INDF, 0
0x02EE	0x3E01      	ADDLW      1
0x02EF	0x00F0      	MOVWF      R0
0x02F0	0x3000      	MOVLW      0
0x02F1	0x1803      	BTFSC      STATUS, 0
0x02F2	0x3E01      	ADDLW      1
0x02F3	0x0A84      	INCF       FSR, 1
0x02F4	0x0700      	ADDWF      INDF, 0
0x02F5	0x00F1      	MOVWF      R0+1
0x02F6	0x085A      	MOVF       FARG__OS_Csem_Signal_pCSem, 0
0x02F7	0x0084      	MOVWF      FSR
0x02F8	0x0870      	MOVF       R0, 0
0x02F9	0x0080      	MOVWF      INDF
0x02FA	0x0871      	MOVF       R0+1, 0
0x02FB	0x0A84      	INCF       FSR, 1
0x02FC	0x0080      	MOVWF      INDF
;osa_csem.c,69 :: 		
0x02FD	0x085A      	MOVF       FARG__OS_Csem_Signal_pCSem, 0
0x02FE	0x0084      	MOVWF      FSR
0x02FF	0x0800      	MOVF       INDF, 0
0x0300	0x00F0      	MOVWF      R0
0x0301	0x0A84      	INCF       FSR, 1
0x0302	0x0800      	MOVF       INDF, 0
0x0303	0x00F1      	MOVWF      R0+1
0x0304	0x0870      	MOVF       R0, 0
0x0305	0x0471      	IORWF      R0+1, 0
0x0306	0x1D03      	BTFSS      STATUS, 2
0x0307	0x2B11      	GOTO       L__OS_Csem_Signal29
;osa_csem.c,71 :: 		
0x0308	0x085A      	MOVF       FARG__OS_Csem_Signal_pCSem, 0
0x0309	0x0084      	MOVWF      FSR
0x030A	0x30FF      	MOVLW      255
0x030B	0x0080      	MOVWF      INDF
0x030C	0x30FF      	MOVLW      255
0x030D	0x0A84      	INCF       FSR, 1
0x030E	0x0080      	MOVWF      INDF
;osa_csem.c,72 :: 		
0x030F	0x1283      	BCF        STATUS, 5
0x0310	0x1442      	BSF        __OS_Flags, 0
;osa_csem.c,73 :: 		
L__OS_Csem_Signal29:
;osa_csem.c,74 :: 		
L_end__OS_Csem_Signal:
0x0311	0x0008      	RETURN
; end of __OS_Csem_Signal
_memset:
;__Lib_CString.c,77 :: 		
;__Lib_CString.c,80 :: 		
0x0312	0x1683      	BSF        STATUS, 5
0x0313	0x1303      	BCF        STATUS, 6
0x0314	0x085A      	MOVF       FARG_memset_p1, 0
0x0315	0x00F2      	MOVWF      R2
;__Lib_CString.c,81 :: 		
L_memset20:
0x0316	0x085C      	MOVF       FARG_memset_n, 0
0x0317	0x00F0      	MOVWF      R0
0x0318	0x085D      	MOVF       FARG_memset_n+1, 0
0x0319	0x00F1      	MOVWF      R0+1
0x031A	0x3001      	MOVLW      1
0x031B	0x02DC      	SUBWF      FARG_memset_n, 1
0x031C	0x1C03      	BTFSS      STATUS, 0
0x031D	0x03DD      	DECF       FARG_memset_n+1, 1
0x031E	0x0870      	MOVF       R0, 0
0x031F	0x0471      	IORWF      R0+1, 0
0x0320	0x1903      	BTFSC      STATUS, 2
0x0321	0x2B28      	GOTO       L_memset21
;__Lib_CString.c,82 :: 		
0x0322	0x0872      	MOVF       R2, 0
0x0323	0x0084      	MOVWF      FSR
0x0324	0x085B      	MOVF       FARG_memset_character, 0
0x0325	0x0080      	MOVWF      INDF
0x0326	0x0AF2      	INCF       R2, 1
0x0327	0x2B16      	GOTO       L_memset20
L_memset21:
;__Lib_CString.c,83 :: 		
0x0328	0x085A      	MOVF       FARG_memset_p1, 0
0x0329	0x00F0      	MOVWF      R0
;__Lib_CString.c,84 :: 		
L_end_memset:
0x032A	0x0008      	RETURN
; end of _memset
_TimeToString:
;rtc.c,57 :: 		void TimeToString(char sec, char min, char hr, char *outtext)
;rtc.c,59 :: 		outtext[7] = sec%10 + 48;
0x032B	0x3007      	MOVLW      7
0x032C	0x1683      	BSF        STATUS, 5
0x032D	0x1303      	BCF        STATUS, 6
0x032E	0x075D      	ADDWF      FARG_TimeToString_outtext, 0
